nickname,player_details,final_score,show_info,full_name,occupation,hometown,archive_info,date
Peggy,"Peggy Robin, a publisher and chief moderator from Washington, D.C.","$12,400","J! Archive - Show #8042, aired 2019-07-23",Peggy Robin,a publisher and chief moderator,"Washington, D.C.",J! Archive - Show #8042,2019-07-23
John,"John Myers, a financial trader from Chicago, Illinois","$29,998","J! Archive - Show #8042, aired 2019-07-23",John Myers,a financial trader,"Chicago, Illinois",J! Archive - Show #8042,2019-07-23
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico (whose 1-day cash winnings total $26,600)","$18,600","J! Archive - Show #8041, aired 2019-07-22",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8041,2019-07-22
James,"James Pelayo, a tax professional from Torrance, California",$10,"J! Archive - Show #8041, aired 2019-07-22",James Pelayo,a tax professional,"Torrance, California",J! Archive - Show #8041,2019-07-22
Cristina,"Cristina Somolinos, a forensic scientist from Bordentown, New Jersey",$211,"J! Archive - Show #8041, aired 2019-07-22",Cristina Somolinos,a forensic scientist,"Bordentown, New Jersey",J! Archive - Show #8041,2019-07-22
Nathan,"Nathan Kaplan, a math professor from Los Angeles, California (whose 1-day cash winnings total $19,600)","$6,336","J! Archive - Show #8040, aired 2019-07-19",Nathan Kaplan,a math professor,"Los Angeles, California",J! Archive - Show #8040,2019-07-19
Kathleen,"Kathleen O'Shea, a PR content manager from Chicago, Illinois","-$1,000","J! Archive - Show #8040, aired 2019-07-19",Kathleen O'Shea,a PR content manager,"Chicago, Illinois",J! Archive - Show #8040,2019-07-19
Jason,"Jason Zuffranieri, a math teacher from Albuquerque, New Mexico","$26,600","J! Archive - Show #8040, aired 2019-07-19",Jason Zuffranieri,a math teacher,"Albuquerque, New Mexico",J! Archive - Show #8040,2019-07-19
Roey,"Roey Hadar, a journalist from Arlington, Virginia (whose 1-day cash winnings total $23,600)","$19,600","J! Archive - Show #8039, aired 2019-07-18",Roey Hadar,a journalist,"Arlington, Virginia",J! Archive - Show #8039,2019-07-18
Amy,"Amy King, a teacher from Seattle, Washington","$9,900","J! Archive - Show #8039, aired 2019-07-18",Amy King,a teacher,"Seattle, Washington",J! Archive - Show #8039,2019-07-18
Nathan,"Nathan Kaplan, a math professor from Los Angeles, California","$19,600","J! Archive - Show #8039, aired 2019-07-18",Nathan Kaplan,a math professor,"Los Angeles, California",J! Archive - Show #8039,2019-07-18
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 5-day cash winnings total $156,202)",$0,"J! Archive - Show #8038, aired 2019-07-17",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8038,2019-07-17
Jennifer,"Jennifer Abel, a graduate student from Vancouver, British Columbia, Canada","$12,001","J! Archive - Show #8038, aired 2019-07-17",Jennifer Abel,a graduate student,"Vancouver, British Columbia, Canada",J! Archive - Show #8038,2019-07-17
Roey,"Roey Hadar, a journalist from Arlington, Virginia","$23,600","J! Archive - Show #8038, aired 2019-07-17",Roey Hadar,a journalist,"Arlington, Virginia",J! Archive - Show #8038,2019-07-17
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 4-day cash winnings total $113,801)","$42,401","J! Archive - Show #8037, aired 2019-07-16",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8037,2019-07-16
Peter,"Peter Smith, a lawyer from Mar Vista, California","$12,800","J! Archive - Show #8037, aired 2019-07-16",Peter Smith,a lawyer,"Mar Vista, California",J! Archive - Show #8037,2019-07-16
JJ,"JJ Harris, a community volunteer from Petaluma, California","$12,801","J! Archive - Show #8037, aired 2019-07-16",JJ Harris,a community volunteer,"Petaluma, California",J! Archive - Show #8037,2019-07-16
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 3-day cash winnings total $75,601)","$38,200","J! Archive - Show #8036, aired 2019-07-15",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8036,2019-07-15
Christina,"Christina Harcar, an audiobook seller from The Bronx, New York","$13,600","J! Archive - Show #8036, aired 2019-07-15",Christina Harcar,an audiobook seller,"The Bronx, New York",J! Archive - Show #8036,2019-07-15
Jeff,"Jeff Lasky, a journalist from San Diego, California",$1,"J! Archive - Show #8036, aired 2019-07-15",Jeff Lasky,a journalist,"San Diego, California",J! Archive - Show #8036,2019-07-15
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 2-day cash winnings total $46,000)","$29,601","J! Archive - Show #8035, aired 2019-07-12",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8035,2019-07-12
Justin,"Justin Burden, an alcohol lawyer from West Hollywood, California","$13,300","J! Archive - Show #8035, aired 2019-07-12",Justin Burden,an alcohol lawyer,"West Hollywood, California",J! Archive - Show #8035,2019-07-12
Heather,"Heather Ringman, an engineer from Houston, Texas",$100,"J! Archive - Show #8035, aired 2019-07-12",Heather Ringman,an engineer,"Houston, Texas",J! Archive - Show #8035,2019-07-12
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota (whose 1-day cash winnings total $38,001)","$7,999","J! Archive - Show #8034, aired 2019-07-11",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8034,2019-07-11
Kirsten,"Kirsten Rose, a librarian from Williamstown, Massachusetts","$5,800","J! Archive - Show #8034, aired 2019-07-11",Kirsten Rose,a librarian,"Williamstown, Massachusetts",J! Archive - Show #8034,2019-07-11
Steven,"Steven Green, a software engineer from Millbrae, California",$0,"J! Archive - Show #8034, aired 2019-07-11",Steven Green,a software engineer,"Millbrae, California",J! Archive - Show #8034,2019-07-11
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 4-day cash winnings total $107,049)","$23,300","J! Archive - Show #8033, aired 2019-07-10",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8033,2019-07-10
Sam,"Sam Kavanaugh, a teacher from Minneapolis, Minnesota","$38,001","J! Archive - Show #8033, aired 2019-07-10",Sam Kavanaugh,a teacher,"Minneapolis, Minnesota",J! Archive - Show #8033,2019-07-10
Margaret,"Margaret Hamilton, a retired air traffic controller from Sebring, Florida","$6,600","J! Archive - Show #8033, aired 2019-07-10",Margaret Hamilton,a retired air traffic controller,"Sebring, Florida",J! Archive - Show #8033,2019-07-10
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 3-day cash winnings total $96,650)","$10,399","J! Archive - Show #8032, aired 2019-07-09",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8032,2019-07-09
Hannah,"Hannah Safford, an engineering Ph.D. student from Davis, California","$8,800","J! Archive - Show #8032, aired 2019-07-09",Hannah Safford,an engineering Ph.D. student,"Davis, California",J! Archive - Show #8032,2019-07-09
Kevin,"Kevin Paquette, a math teacher from Charlottesville, Virginia","$7,199","J! Archive - Show #8032, aired 2019-07-09",Kevin Paquette,a math teacher,"Charlottesville, Virginia",J! Archive - Show #8032,2019-07-09
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 2-day cash winnings total $63,849)","$32,801","J! Archive - Show #8031, aired 2019-07-08",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8031,2019-07-08
Holly,"Holly Ahronheim, a stay-at-home mom from Royal Palm Beach, Florida",$0,"J! Archive - Show #8031, aired 2019-07-08",Holly Ahronheim,a stay-at-home mom,"Royal Palm Beach, Florida",J! Archive - Show #8031,2019-07-08
Sarah,"Sarah Hoban, a freelance writer and editor from Barrington, Illinois","$32,400","J! Archive - Show #8031, aired 2019-07-08",Sarah Hoban,a freelance writer and editor,"Barrington, Illinois",J! Archive - Show #8031,2019-07-08
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania (whose 1-day cash winnings total $34,650)","$29,199","J! Archive - Show #8030, aired 2019-07-05",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8030,2019-07-05
Sally,"Sally Leedham, a legal assistant from Bradford, Ontario, Canada","$21,400","J! Archive - Show #8030, aired 2019-07-05",Sally Leedham,a legal assistant,"Bradford, Ontario, Canada",J! Archive - Show #8030,2019-07-05
Jim,"Jim Royal, a writer from St. Louis, Missouri","$1,200","J! Archive - Show #8030, aired 2019-07-05",Jim Royal,a writer,"St. Louis, Missouri",J! Archive - Show #8030,2019-07-05
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado (whose 2-day cash winnings total $56,800)","$24,801","J! Archive - Show #8029, aired 2019-07-04",Charlie Jorgenson,a librarian,"Loveland, Colorado",J! Archive - Show #8029,2019-07-04
Wendy,"Wendy Foster, a social worker from Portland, Oregon","$24,800","J! Archive - Show #8029, aired 2019-07-04",Wendy Foster,a social worker,"Portland, Oregon",J! Archive - Show #8029,2019-07-04
Ryan,"Ryan Bilger, a student from Macungie, Pennsylvania","$34,650","J! Archive - Show #8029, aired 2019-07-04",Ryan Bilger,a student,"Macungie, Pennsylvania",J! Archive - Show #8029,2019-07-04
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado (whose 1-day cash winnings total $32,800)","$24,000","J! Archive - Show #8028, aired 2019-07-03",Charlie Jorgenson,a librarian,"Loveland, Colorado",J! Archive - Show #8028,2019-07-03
Dan,"Dan Levy, a higher education administrator from Hartford, Connecticut","$5,400","J! Archive - Show #8028, aired 2019-07-03",Dan Levy,a higher education administrator,"Hartford, Connecticut",J! Archive - Show #8028,2019-07-03
Cathy,"Cathy Deobler, a retired teacher from Belle, West Virginia",$0,"J! Archive - Show #8028, aired 2019-07-03",Cathy Deobler,a retired teacher,"Belle, West Virginia",J! Archive - Show #8028,2019-07-03
Josh,"Josh Levit, a union organizer from Brighton, Massachusetts (whose 1-day cash winnings total $8,199)","$8,799","J! Archive - Show #8027, aired 2019-07-02",Josh Levit,a union organizer,"Brighton, Massachusetts",J! Archive - Show #8027,2019-07-02
Allison,"Allison Lyttle, a music librarian from Harrisonburg, Virginia","$4,000","J! Archive - Show #8027, aired 2019-07-02",Allison Lyttle,a music librarian,"Harrisonburg, Virginia",J! Archive - Show #8027,2019-07-02
Charlie,"Charlie Jorgenson, a librarian from Loveland, Colorado","$32,800","J! Archive - Show #8027, aired 2019-07-02",Charlie Jorgenson,a librarian,"Loveland, Colorado",J! Archive - Show #8027,2019-07-02
E.J.,"E.J. Wolborsky, a freelance project manager from Brooklyn, New York (whose 3-day cash winnings total $66,700)",$0,"J! Archive - Show #8026, aired 2019-07-01",E.J. Wolborsky,a freelance project manager,"Brooklyn, New York",J! Archive - Show #8026,2019-07-01
Josh,"Josh Levit, a union organizer from Brighton, Massachusetts","$8,199","J! Archive - Show #8026, aired 2019-07-01",Josh Levit,a union organizer,"Brighton, Massachusetts",J! Archive - Show #8026,2019-07-01
Debbie,"Debbie Kauffman, a university professor from Greeley, Colorado",$0,"J! Archive - Show #8026, aired 2019-07-01",Debbie Kauffman,a university professor,"Greeley, Colorado",J! Archive - Show #8026,2019-07-01
Avi,"Avi Gupta, a senior from Portland, Oregon (subtotal of $24,200)","$26,600","J! Archive - Show #8025, aired 2019-06-28",Avi Gupta,a senior,"Portland, Oregon",J! Archive - Show #8025,2019-06-28
Lucas,"Lucas Miner, a junior from Miami, Florida (subtotal of $14,800)","$9,200","J! Archive - Show #8025, aired 2019-06-28",Lucas Miner,a junior,"Miami, Florida",J! Archive - Show #8025,2019-06-28
Ryan,"Ryan Presler, an eighth grader from Sioux Falls, South Dakota (subtotal of $15,999)","$26,402","J! Archive - Show #8025, aired 2019-06-28",Ryan Presler,an eighth grader,"Sioux Falls, South Dakota",J! Archive - Show #8025,2019-06-28
Avi,"Avi Gupta, a senior from Portland, Oregon","$24,200","J! Archive - Show #8024, aired 2019-06-27",Avi Gupta,a senior,"Portland, Oregon",J! Archive - Show #8024,2019-06-27
Lucas,"Lucas Miner, a junior from Miami, Florida","$14,800","J! Archive - Show #8024, aired 2019-06-27",Lucas Miner,a junior,"Miami, Florida",J! Archive - Show #8024,2019-06-27
Ryan,"Ryan Presler, an eighth grader from Sioux Falls, South Dakota","$15,999","J! Archive - Show #8024, aired 2019-06-27",Ryan Presler,an eighth grader,"Sioux Falls, South Dakota",J! Archive - Show #8024,2019-06-27
Avi,"Avi Gupta, a senior from Portland, Oregon","$39,200","J! Archive - Show #8023, aired 2019-06-26",Avi Gupta,a senior,"Portland, Oregon",J! Archive - Show #8023,2019-06-26
Teagan,"Teagan O'Sullivan, a freshman from Charlotte, North Carolina","$27,999","J! Archive - Show #8023, aired 2019-06-26",Teagan O'Sullivan,a freshman,"Charlotte, North Carolina",J! Archive - Show #8023,2019-06-26
Jackson,"Jackson Jones, a junior from Louisville, Kentucky","$39,200","J! Archive - Show #8023, aired 2019-06-26",Jackson Jones,a junior,"Louisville, Kentucky",J! Archive - Show #8023,2019-06-26
Shriya,"Shriya Yarlagadda, a sophomore from Grand Blanc, Michigan",$0,"J! Archive - Show #8022, aired 2019-06-25",Shriya Yarlagadda,a sophomore,"Grand Blanc, Michigan",J! Archive - Show #8022,2019-06-25
Eesha,"Eesha Sohail, a senior from Bakersfield, California",$0,"J! Archive - Show #8022, aired 2019-06-25",Eesha Sohail,a senior,"Bakersfield, California",J! Archive - Show #8022,2019-06-25
Ryan,"Ryan Presler, an eighth grader from Sioux Falls, South Dakota","$1,599","J! Archive - Show #8022, aired 2019-06-25",Ryan Presler,an eighth grader,"Sioux Falls, South Dakota",J! Archive - Show #8022,2019-06-25
Justin,"Justin Bolsen, a freshman from Canton, Georgia",$0,"J! Archive - Show #8021, aired 2019-06-24",Justin Bolsen,a freshman,"Canton, Georgia",J! Archive - Show #8021,2019-06-24
Lucas,"Lucas Miner, a junior from Miami, Florida","$21,601","J! Archive - Show #8021, aired 2019-06-24",Lucas Miner,a junior,"Miami, Florida",J! Archive - Show #8021,2019-06-24
Hannah,"Hannah Nekritz, a senior from Stamford, Connecticut",$100,"J! Archive - Show #8021, aired 2019-06-24",Hannah Nekritz,a senior,"Stamford, Connecticut",J! Archive - Show #8021,2019-06-24
Avi,"Avi Gupta, a senior from Portland, Oregon","$25,599","J! Archive - Show #8020, aired 2019-06-21",Avi Gupta,a senior,"Portland, Oregon",J! Archive - Show #8020,2019-06-21
Hannah,"Hannah Nekritz, a senior from Stamford, Connecticut","$18,200","J! Archive - Show #8020, aired 2019-06-21",Hannah Nekritz,a senior,"Stamford, Connecticut",J! Archive - Show #8020,2019-06-21
Shriya,"Shriya Yarlagadda, a sophomore from Grand Blanc, Michigan","$23,000","J! Archive - Show #8020, aired 2019-06-21",Shriya Yarlagadda,a sophomore,"Grand Blanc, Michigan",J! Archive - Show #8020,2019-06-21
Jackson,"Jackson Jones, a junior from Louisville, Kentucky","$21,600","J! Archive - Show #8019, aired 2019-06-20",Jackson Jones,a junior,"Louisville, Kentucky",J! Archive - Show #8019,2019-06-20
Sreekar,"Sreekar Madabushi, a junior from Basking Ridge, New Jersey","$18,000","J! Archive - Show #8019, aired 2019-06-20",Sreekar Madabushi,a junior,"Basking Ridge, New Jersey",J! Archive - Show #8019,2019-06-20
Audrey,"Audrey Sarin, a senior from Redmond, Washington","$16,800","J! Archive - Show #8019, aired 2019-06-20",Audrey Sarin,a senior,"Redmond, Washington",J! Archive - Show #8019,2019-06-20
Justin,"Justin Bolsen, a freshman from Canton, Georgia","$25,342","J! Archive - Show #8018, aired 2019-06-19",Justin Bolsen,a freshman,"Canton, Georgia",J! Archive - Show #8018,2019-06-19
Rohit,"Rohit Kataria, a junior from Wheelersburg, Ohio",$0,"J! Archive - Show #8018, aired 2019-06-19",Rohit Kataria,a junior,"Wheelersburg, Ohio",J! Archive - Show #8018,2019-06-19
Sophia,"Sophia Weng, a junior from Chevy Chase, Maryland","$13,600","J! Archive - Show #8018, aired 2019-06-19",Sophia Weng,a junior,"Chevy Chase, Maryland",J! Archive - Show #8018,2019-06-19
Lucas,"Lucas Miner, a junior from Miami, Florida","$21,000","J! Archive - Show #8017, aired 2019-06-18",Lucas Miner,a junior,"Miami, Florida",J! Archive - Show #8017,2019-06-18
Alison,"Alison Purcell, a senior from Bellaire, Texas","$11,600","J! Archive - Show #8017, aired 2019-06-18",Alison Purcell,a senior,"Bellaire, Texas",J! Archive - Show #8017,2019-06-18
Eesha,"Eesha Sohail, a senior from Bakersfield, California","$19,787","J! Archive - Show #8017, aired 2019-06-18",Eesha Sohail,a senior,"Bakersfield, California",J! Archive - Show #8017,2019-06-18
Teagan,"Teagan O'Sullivan, a freshman from Charlotte, North Carolina","$25,201","J! Archive - Show #8016, aired 2019-06-17",Teagan O'Sullivan,a freshman,"Charlotte, North Carolina",J! Archive - Show #8016,2019-06-17
Stephanie,"Stephanie Pierson, a junior from Macon, Georgia","$13,999","J! Archive - Show #8016, aired 2019-06-17",Stephanie Pierson,a junior,"Macon, Georgia",J! Archive - Show #8016,2019-06-17
Ryan,"Ryan Presler, an eighth grader from Sioux Falls, South Dakota","$19,301","J! Archive - Show #8016, aired 2019-06-17",Ryan Presler,an eighth grader,"Sioux Falls, South Dakota",J! Archive - Show #8016,2019-06-17
E.J.,"E.J. Wolborsky, a freelance project manager from Brooklyn, New York (whose 2-day cash winnings total $54,201)","$12,499","J! Archive - Show #8015, aired 2019-06-14",E.J. Wolborsky,a freelance project manager,"Brooklyn, New York",J! Archive - Show #8015,2019-06-14
Eric,"Eric Larson, an executive producer at an events agency from Long Beach, California","$8,001","J! Archive - Show #8015, aired 2019-06-14",Eric Larson,an executive producer at an events agency,"Long Beach, California",J! Archive - Show #8015,2019-06-14
Becky,"Becky Reisig, a document management system administrator from Fort Collins, Colorado",$950,"J! Archive - Show #8015, aired 2019-06-14",Becky Reisig,a document management system administrator,"Fort Collins, Colorado",J! Archive - Show #8015,2019-06-14
E.J.,"E.J. Wolborsky, a freelance project manager from Brooklyn, New York (whose 1-day cash winnings total $28,800)","$25,401","J! Archive - Show #8014, aired 2019-06-13",E.J. Wolborsky,a freelance project manager,"Brooklyn, New York",J! Archive - Show #8014,2019-06-13
Adrienne,"Adrienne Griffin, an attorney from Alexandria, Virginia","$24,700","J! Archive - Show #8014, aired 2019-06-13",Adrienne Griffin,an attorney,"Alexandria, Virginia",J! Archive - Show #8014,2019-06-13
Jim,"Jim Napier, a poker dealer from West Des Moines, Iowa","$6,600","J! Archive - Show #8014, aired 2019-06-13",Jim Napier,a poker dealer,"West Des Moines, Iowa",J! Archive - Show #8014,2019-06-13
Dan,"Dan Martson, a forklift operator from Declo, Idaho (whose 1-day cash winnings total $40,600)","$2,799","J! Archive - Show #8013, aired 2019-06-12",Dan Martson,a forklift operator,"Declo, Idaho",J! Archive - Show #8013,2019-06-12
Ben,"Ben Hatch, a pastor from Houston, Texas",$84,"J! Archive - Show #8013, aired 2019-06-12",Ben Hatch,a pastor,"Houston, Texas",J! Archive - Show #8013,2019-06-12
E.J.,"E.J. Wolborsky, a freelance project manager from Brooklyn, New York","$28,800","J! Archive - Show #8013, aired 2019-06-12",E.J. Wolborsky,a freelance project manager,"Brooklyn, New York",J! Archive - Show #8013,2019-06-12
Martin,"Martin Kane, a high school teacher from Martin, Tennessee (whose 1-day cash winnings total $35,601)","$20,601","J! Archive - Show #8012, aired 2019-06-11",Martin Kane,a high school teacher,"Martin, Tennessee",J! Archive - Show #8012,2019-06-11
Dan,"Dan Martson, a forklift operator from Declo, Idaho","$40,600","J! Archive - Show #8012, aired 2019-06-11",Dan Martson,a forklift operator,"Declo, Idaho",J! Archive - Show #8012,2019-06-11
Terri,"Terri Evans, a writer and editor from Natick, Massachusetts","$9,900","J! Archive - Show #8012, aired 2019-06-11",Terri Evans,a writer and editor,"Natick, Massachusetts",J! Archive - Show #8012,2019-06-11
Brendan!,"Brendan Roach, a policy researcher and advisor from Cambridge, Massachusetts (whose 2-day cash winnings total $58,700)","$35,600","J! Archive - Show #8011, aired 2019-06-10",Brendan Roach,a policy researcher and advisor,"Cambridge, Massachusetts",J! Archive - Show #8011,2019-06-10
Martin,"Martin Kane, a high school teacher from Martin, Tennessee","$35,601","J! Archive - Show #8011, aired 2019-06-10",Martin Kane,a high school teacher,"Martin, Tennessee",J! Archive - Show #8011,2019-06-10
Mary,"Mary Fellman, a retail manager from Los Alamos, New Mexico",$400,"J! Archive - Show #8011, aired 2019-06-10",Mary Fellman,a retail manager,"Los Alamos, New Mexico",J! Archive - Show #8011,2019-06-10
Brendan!,"Brendan Roach, a policy researcher and advisor from Cambridge, Massachusetts (whose 1-day cash winnings total $38,200)","$20,500","J! Archive - Show #8010, aired 2019-06-07",Brendan Roach,a policy researcher and advisor,"Cambridge, Massachusetts",J! Archive - Show #8010,2019-06-07
Allison!,"Allison Steger, a librarian from Austin, Texas","$20,000","J! Archive - Show #8010, aired 2019-06-07",Allison Steger,a librarian,"Austin, Texas",J! Archive - Show #8010,2019-06-07
Steven,"Steven Silverman, a software engineer from Arlington, Virginia","$2,667","J! Archive - Show #8010, aired 2019-06-07",Steven Silverman,a software engineer,"Arlington, Virginia",J! Archive - Show #8010,2019-06-07
Emma,"Emma Boettcher, a user experience librarian from Chicago, Illinois (whose 3-day cash winnings total $97,002)","$5,199","J! Archive - Show #8009, aired 2019-06-06",Emma Boettcher,a user experience librarian,"Chicago, Illinois",J! Archive - Show #8009,2019-06-06
Brendan!,"Brendan Roach, a policy researcher and advisor from Cambridge, Massachusetts","$38,200","J! Archive - Show #8009, aired 2019-06-06",Brendan Roach,a policy researcher and advisor,"Cambridge, Massachusetts",J! Archive - Show #8009,2019-06-06
Salomé,"Salomé Gonstad, a freelance writer from Hanceville, Alabama","$32,800","J! Archive - Show #8009, aired 2019-06-06",Salomé Gonstad,a freelance writer,"Hanceville, Alabama",J! Archive - Show #8009,2019-06-06
Emma,"Emma Boettcher, a user experience librarian from Chicago, Illinois (whose 2-day cash winnings total $71,401)","$25,601","J! Archive - Show #8008, aired 2019-06-05",Emma Boettcher,a user experience librarian,"Chicago, Illinois",J! Archive - Show #8008,2019-06-05
Jonathan,"Jonathan Greenstein, a high school social studies teacher from Mount Laurel, New Jersey","-$2,000","J! Archive - Show #8008, aired 2019-06-05",Jonathan Greenstein,a high school social studies teacher,"Mount Laurel, New Jersey",J! Archive - Show #8008,2019-06-05
Erin,"Erin Garratt, an education policy analyst from Washington, D.C.",$0,"J! Archive - Show #8008, aired 2019-06-05",Erin Garratt,an education policy analyst,"Washington, D.C.",J! Archive - Show #8008,2019-06-05
Emma,"Emma Boettcher, a user experience librarian from Chicago, Illinois (whose 1-day cash winnings total $46,801)","$24,600","J! Archive - Show #8007, aired 2019-06-04",Emma Boettcher,a user experience librarian,"Chicago, Illinois",J! Archive - Show #8007,2019-06-04
Matthew,"Matthew Swanson, a Ph.D student from Los Angeles, California","$19,201","J! Archive - Show #8007, aired 2019-06-04",Matthew Swanson,a Ph.D student,"Los Angeles, California",J! Archive - Show #8007,2019-06-04
Liz,"Liz Neal, a graphic designer from Astoria, New York","$7,200","J! Archive - Show #8007, aired 2019-06-04",Liz Neal,a graphic designer,"Astoria, New York",J! Archive - Show #8007,2019-06-04
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 32-day cash winnings total $2,462,216)","$24,799","J! Archive - Show #8006, aired 2019-06-03",James Holzhauer,a professional sports gambler,"Las Vegas, Nevada",J! Archive - Show #8006,2019-06-03
Jay,"Jay Sexton, a senior research engineer from Atlanta, Georgia","$17,000","J! Archive - Show #8006, aired 2019-06-03",Jay Sexton,a senior research engineer,"Atlanta, Georgia",J! Archive - Show #8006,2019-06-03
Emma,"Emma Boettcher, a user experience librarian from Chicago, Illinois","$46,801","J! Archive - Show #8006, aired 2019-06-03",Emma Boettcher,a user experience librarian,"Chicago, Illinois",J! Archive - Show #8006,2019-06-03
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 31-day cash winnings total $2,382,583)","$79,633","J! Archive - Show #8005, aired 2019-05-31",James Holzhauer,a professional sports gambler,"Las Vegas, Nevada",J! Archive - Show #8005,2019-05-31
William,"William Tran, an attorney from Monterey Park, California","$1,500","J! Archive - Show #8005, aired 2019-05-31",William Tran,an attorney,"Monterey Park, California",J! Archive - Show #8005,2019-05-31
Wyatt,"Wyatt Feeler, an attorney from College Park, Maryland","$7,600","J! Archive - Show #8005, aired 2019-05-31",Wyatt Feeler,an attorney,"College Park, Maryland",J! Archive - Show #8005,2019-05-31
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 30-day cash winnings total $2,323,971)","$58,612","J! Archive - Show #8004, aired 2019-05-30",James Holzhauer,a professional sports gambler,"Las Vegas, Nevada",J! Archive - Show #8004,2019-05-30
Megan,"Megan Browndorf, a librarian from Washington, D.C.","$7,599","J! Archive - Show #8004, aired 2019-05-30",Megan Browndorf,a librarian,"Washington, D.C.",J! Archive - Show #8004,2019-05-30
Rob,"Rob Wolf, a family physician from Newark, Delaware",$1,"J! Archive - Show #8004, aired 2019-05-30",Rob Wolf,a family physician,"Newark, Delaware",J! Archive - Show #8004,2019-05-30
James,"James Holzhauer, a professional sports gambler from Las Vegas, Nevada (whose 29-day cash winnings total $2,254,938)","$69,033","J! Archive - Show #8003, aired 2019-05-29",James Holzhauer,a professional sports gambler,"Las Vegas, Nevada",J! Archive - Show #8003,2019-05-29
